title,smdName,organizationName,sourceType,sourceUrl,icarUrl,keywords,language
"National Webinar on Emerging Challenges and Opportunities in Resource Management of Arid Region (27 September, 2021)",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=ujays22AM9o,https://krishi.icar.gov.in/video/watch/3869,"National Webinar on Emerging Challenges and Opportunities in Resource Management of Arid Region (27 September, 2021)",English
"63rd Foundation Day Celebrations of ICAR-CAZRI Jodhpur (01 October, 2021)",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=2rCnwkp2Fto,https://krishi.icar.gov.in/video/watch/3868,"63rd Foundation Day Celebrations of ICAR-CAZRI Jodhpur (01 October, 2021)",English
"A talk on General issues of Code of Conduct- Ms. Sunita Arya, CFAO ICAR-CAZRI Jodhpur (30 October, 2021)",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=KOxC7L3fOdo,https://krishi.icar.gov.in/video/watch/3867,"A talk on General issues of Code of Conduct- Ms. Sunita Arya, CFAO ICAR-CAZRI Jodhpur (30 October, 2021)",English
Improved Manger for small ruminants,Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=79SMww2I5Nw,https://krishi.icar.gov.in/video/watch/3866,Improved Manger for small ruminants,English
काजरी टमाटर नवीन तकनीक जोधपुर,Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=jRMFbzp5JEU,https://krishi.icar.gov.in/video/watch/3865,Tomato,Hindi
"ICAR-ATARI Umiam KVK, Mon Importance of Community Farming in Nagaland",Agricultural Extension,ICAR-Agricultural Technology Application Research Institute(Zone VII:earlier Zone III),youtube,https://www.youtube.com/watch?v=4M7Fa750QaY,https://krishi.icar.gov.in/video/watch/3864,"Community Farming, Krishi Vigyan Kendra",English
गीष्मकालीन मूंग के लिए संस्तुत वैज्ञानिक तकनिकी (Scientific Techniques for Summer Mung),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=nnpKG08mtNc,https://krishi.icar.gov.in/video/watch/3863,"Summer Mung, Greengram",Hindi
मटर की उन्नत प्रजाति: IPFD 11-05 (Improved Variety of Garden pea),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=U4oAn2gwUdg,https://krishi.icar.gov.in/video/watch/3862,"Garden pea, Pulses, variety, Pease",Hindi
मसूर की उन्नत प्रजाति : IPL 316 (Improved Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=QHMsKnNS3-o,https://krishi.icar.gov.in/video/watch/3859,"Lentil, Pulses, Variety",Hindi
मसूर की उन्नत प्रजाति : IPL 526 (Improved Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=i3l4xm7k3Mg,https://krishi.icar.gov.in/video/watch/3858,"Lentil, Pulses, Variety",Hindi
मसूर की उन्नत प्रजाति : IPL 315 (Improved Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=ILW_hjOhI2k,https://krishi.icar.gov.in/video/watch/3857,"Lentil, Pulses, Variety",Hindi
मसूर की उन्नत बायोफोर्टीफाईड प्रजाति : IPL220 (Improved Biofortified Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=9YvYepP2tu0,https://krishi.icar.gov.in/video/watch/3856,"Lentil, Pulses, Variety, Biofortified variety",Hindi
मसूर की उन्नत प्रजाति : IPL 329 (Improved Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=AnvwOJV5BuM,https://krishi.icar.gov.in/video/watch/3855,"Lentil, Pulses, Variety",Hindi
मसूर की उन्नत प्रजाति: IPL 534 (Improved Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=rmS-TeEh_VI,https://krishi.icar.gov.in/video/watch/3854,"Lentil, Pulses, Variety",Hindi
मसूर की उन्नत प्रजाति : IPL 321 (Improved Variety of Lentil),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=jSXsARLW1_E,https://krishi.icar.gov.in/video/watch/3853,"Lentil, Pulses, Variety",Hindi
दलहन प्रसंस्करण एवं मूल्य संवर्धन पर उध्यमिता विकास का अनुभव (Pulses Processing and Value Addition: An Experience),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=FKVU-FPF4BM,https://krishi.icar.gov.in/video/watch/3852,"Pulses, Processing, Value Addition",Hindi
मटर की उन्नत प्रजाति : आई पी एफ डी ६-३ (IPFD 6-3) (Improved Variety of garden Pea),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=YDyis3D2dUg,https://krishi.icar.gov.in/video/watch/3851,"Garden pea, Pulses, variety, Pease",Hindi
मटर की उन्नत प्रजाति : आई पी एफ डी १२-२ (IPFD 12-2) (Improved Variety of garden Pea),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=JVDwld76EnM,https://krishi.icar.gov.in/video/watch/3849,"Garden pea, Pulses, variety, Pease",Hindi
मटर की उन्नत प्रजाति: आई पी एफ डी १०-१२ ( IPFD 10-12) (Improved Variety of Garden pea),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=ovbr6MA33Hs,https://krishi.icar.gov.in/video/watch/3848,"Garden pea, Pulses, variety, Pease",Hindi
अरहर की उन्नत प्रजाति :आई पी ए २०३ (IPA 203) (Improved Variety of Pigeonpea),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=C2sPgQOZ2_Q,https://krishi.icar.gov.in/video/watch/3847,"Pigeonpea, Pulses, Variety, Arhar",Hindi
चना की उन्नत प्रजाति : फूले जी- 0027 (हिमाली) (Improved Variety of Chickpea): MPKV Rahuri,Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=218XOiLev5M,https://krishi.icar.gov.in/video/watch/3846,"Chickpea, Pulses, Variety, Kabuli Chana",Hindi
मूंग की उन्नत प्रजाति : IPM 2K-14-9( वर्षा ) (Improved Variety of Mungbean),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=zwbpkS9Zgtw,https://krishi.icar.gov.in/video/watch/3845,"Mung, Greengram, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : RVKG 101 (improved Variety of Chickpea: RVSKVV, Gwalior)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=jTS7NBG63Ig,https://krishi.icar.gov.in/video/watch/3844,"Chickpea, Pulses, Variety",Hindi
"मूंग की उन्नत प्रजाति : IPM 302-2 (कनिका) (Improved Variety of Mungbean, Greengram)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=qb98CZL7NVM,https://krishi.icar.gov.in/video/watch/3843,"Mung, Greengram, Pulses, Variety",Hindi
